ARGNode_AdSLF9n0,NODE_2,Singleton_XZeTDPtl
A/Singapore/TT0555/2017,A/Singapore/TT0555/2017,A/Singapore/TT0555/2017
ARGNode_1KUzrNQY,RESOLVED_7,NODE_43
ARGNode_1XoWTMsa,Singleton_E4ntfh5U,NODE_18
ARGNode_3GyqNcfU,NODE_53,NODE_50
A/Newcastle/31/2017,A/Newcastle/31/2017,A/Newcastle/31/2017
ARGNode_wMGcUTtS,NODE_11,Singleton_UARBI9v6
ARGNode_QSIk5Ujo,Singleton_VlItWdfs,NODE_20
ARGNode_GmYAHXtW, , 
A/SouthAustralia/56/2017,A/SouthAustralia/56/2017,A/SouthAustralia/56/2017
ARGNode_HmZKYy3V,NODE_13,NODE_31
A/SaudiArabia/252925/2017,A/SaudiArabia/252925/2017,A/SaudiArabia/252925/2017
A/NewZealand/882/2017,A/NewZealand/882/2017,A/NewZealand/882/2017
A/Managua/969302/2017,A/Managua/969302/2017,A/Managua/969302/2017
A/Toamasina/2755/2017,A/Toamasina/2755/2017,A/Toamasina/2755/2017
ARGNode_P4D2vZ9M,NODE_9,RESOLVED_2
ARGNode_9TiZF5OB,NODE_5, 
A/PuntaArena/55840/2017,A/PuntaArena/55840/2017,A/PuntaArena/55840/2017
A/Ohio/9/2017,A/Ohio/9/2017,A/Ohio/9/2017
A/SouthAustralia/184/2017,A/SouthAustralia/184/2017,A/SouthAustralia/184/2017
A/Newcastle/29/2017,A/Newcastle/29/2017,A/Newcastle/29/2017
A/Vietnam/Lisn131/2017,A/Vietnam/Lisn131/2017,A/Vietnam/Lisn131/2017
A/SouthAuckland/42/2017,A/SouthAuckland/42/2017,A/SouthAuckland/42/2017
ARGNode_TFExxz2r,NODE_28,RESOLVED_6
ARGNode_8etuBTcn,NODE_48,Singleton_S1BbOOzw
ARGNode_EC6bwnIB, , 
ARGNode_aiqDeyue, ,NODE_27
ARGNode_mBMEjkwY,NODE_33,RESOLVED_17
A/SouthAustralia/192/2017,A/SouthAustralia/192/2017,A/SouthAustralia/192/2017
A/Sydney/57/2017,A/Sydney/57/2017,A/Sydney/57/2017
A/Argentina/2104/2017,A/Argentina/2104/2017,A/Argentina/2104/2017
ARGNode_ZYk9hSVR,RESOLVED_5,NODE_9
ARGNode_zz5V5YEZ,NODE_44,Singleton_vLOhsduq
ARGNode_0xwYNlzc,NODE_41,NODE_39
ARGNode_a7sKj3Pr,NODE_8,NODE_47
ARGNode_GTdqN8yL, , 
ARGNode_Bpgw7DKk,NODE_20,NODE_35
ARGNode_N91YxPAj,NODE_39,NODE_37
ARGNode_icc3b6PX, , 
ARGNode_SNTLYvXW,RESOLVED_9,NODE_2
ARGNode_kJ6xx4ok,Singleton_I7fCSDzc,NODE_29
A/Yokohama/131/2017,A/Yokohama/131/2017,A/Yokohama/131/2017
